2025/09/10 12:54:23 ✓ 数据库连接成功
🚀 计量证书防伪溯源系统启动成功
🔗 监听端口: 8080
📋 健康检查: http://localhost:8080/health
📖 系统信息: http://localhost:8080/api/v1/info
🔒 使用国密SM3/SM4算法保护数据安全
⛓️  集成Hyperledger Fabric区块链技术
📊 支持互感器测试数据管理
[GIN] 2025/09/10 - 12:54:33 | 200 |      83.865µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 12:54:33 | 200 |       68.12µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 12:54:50 | 404 |       2.767µs |       127.0.0.1 | GET      "/api/health"
[GIN] 2025/09/10 - 12:54:50 | 404 |      18.615µs |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 12:56:08 | 404 |       3.022µs |    192.168.85.1 | GET      "/"
[GIN] 2025/09/10 - 12:56:08 | 404 |       6.887µs |    192.168.85.1 | GET      "/favicon.ico"
[GIN] 2025/09/10 - 12:56:28 | 200 |      74.533µs |    192.168.85.1 | GET      "/health"
[GIN] 2025/09/10 - 12:57:18 | 404 |       2.819µs |       127.0.0.1 | GET      "/api/health"
[GIN] 2025/09/10 - 12:57:18 | 404 |       3.648µs |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 12:57:56 | 404 |       4.591µs |    192.168.85.1 | GET      "/api/v1"
[GIN] 2025/09/10 - 12:58:18 | 404 |       4.374µs |    192.168.85.1 | GET      "/auth/kogin"
[GIN] 2025/09/10 - 12:58:23 | 404 |       3.211µs |    192.168.85.1 | GET      "/auth/login"
[GIN] 2025/09/10 - 13:01:22 | 200 |     112.304µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 13:01:22 | 200 |      79.263µs |       127.0.0.1 | GET      "/api/v1/info"
[GIN] 2025/09/10 - 13:01:22 | 200 |   37.846718ms |       127.0.0.1 | POST     "/api/v1/customers"
[GIN] 2025/09/10 - 13:01:22 | 200 |    1.240217ms |       127.0.0.1 | GET      "/api/v1/customers"
[GIN] 2025/09/10 - 13:01:22 | 200 |    8.635414ms |       127.0.0.1 | POST     "/api/v1/certificates"
[GIN] 2025/09/10 - 13:01:22 | 200 |    3.323632ms |       127.0.0.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:01:22 | 200 |    1.446738ms |       127.0.0.1 | GET      "/api/v1/certificates/CERT20250910130122"
[GIN] 2025/09/10 - 13:01:22 | 200 |    8.383993ms |       127.0.0.1 | POST     "/api/v1/test-data"
[GIN] 2025/09/10 - 13:01:22 | 200 |    2.523468ms |       127.0.0.1 | GET      "/api/v1/test-data/CERT20250910130122"
[GIN] 2025/09/10 - 13:01:22 | 200 |    1.286986ms |       127.0.0.1 | GET      "/api/v1/verify/CERT20250910130122"
[GIN] 2025/09/10 - 13:01:22 | 200 |     852.347µs |       127.0.0.1 | POST     "/api/v1/verify/CERT20250910130122"
[GIN] 2025/09/10 - 13:15:30 | 204 |      74.015µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:15:30 | 404 |       3.549µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:15:56 | 204 |       7.988µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
